Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
519100,0,4626.7,0,RON,draft,2021-06-30,balanta iun
531100,18.46,0,0,RON,draft,2021-06-30,balanta iun
531100,0,0,0,RON,draft,2021-06-30,balanta iun
531400,2181.09,0,0,RON,draft,2021-06-30,balanta iun
531400,0,5142.57,0,RON,draft,2021-06-30,balanta iun
532800,1178.08,0,0,RON,draft,2021-06-30,balanta iun
532800,0,1178.08,0,RON,draft,2021-06-30,balanta iun
542000,152402.97,0,0,RON,draft,2021-06-30,balanta iun
542000,0,152402.97,0,RON,draft,2021-06-30,balanta iun
581000,37172.28,0,0,RON,draft,2021-06-30,balanta iun
581000,0,37172.28,0,RON,draft,2021-06-30,balanta iun
601000,264.06,0,0,RON,draft,2021-06-30,balanta iun
601000,0,264.06,0,RON,draft,2021-06-30,balanta iun
602200,11700.74,0,0,RON,draft,2021-06-30,balanta iun
602200,0,11700.74,0,RON,draft,2021-06-30,balanta iun
602800,41798.93,0,0,RON,draft,2021-06-30,balanta iun
602800,0,41798.93,0,RON,draft,2021-06-30,balanta iun
603000,0,0,0,RON,draft,2021-06-30,balanta iun
603000,0,0,0,RON,draft,2021-06-30,balanta iun
604000,643.48,0,0,RON,draft,2021-06-30,balanta iun
604000,0,643.48,0,RON,draft,2021-06-30,balanta iun
605000,517300.97,0,0,RON,draft,2021-06-30,balanta iun
605000,0,517300.97,0,RON,draft,2021-06-30,balanta iun
607000,34428.71,0,0,RON,draft,2021-06-30,balanta iun
607000,0,34428.71,0,RON,draft,2021-06-30,balanta iun
612000,14.99,0,0,RON,draft,2021-06-30,balanta iun
612000,0,14.99,0,RON,draft,2021-06-30,balanta iun
613000,3881.73,0,0,RON,draft,2021-06-30,balanta iun
613000,0,3881.73,0,RON,draft,2021-06-30,balanta iun
622000,373.08,0,0,RON,draft,2021-06-30,balanta iun
622000,0,373.08,0,RON,draft,2021-06-30,balanta iun
623000,0,0,0,RON,draft,2021-06-30,balanta iun
623000,0,0,0,RON,draft,2021-06-30,balanta iun
625000,600.06,0,0,RON,draft,2021-06-30,balanta iun
625000,0,600.06,0,RON,draft,2021-06-30,balanta iun
626000,463.24,0,0,RON,draft,2021-06-30,balanta iun
626000,0,463.24,0,RON,draft,2021-06-30,balanta iun
627000,50120.84,0,0,RON,draft,2021-06-30,balanta iun
627000,0,50120.84,0,RON,draft,2021-06-30,balanta iun
628000,500,0,0,RON,draft,2021-06-30,balanta iun
628000,0,500,0,RON,draft,2021-06-30,balanta iun
635000,63666,0,0,RON,draft,2021-06-30,balanta iun
635000,0,63666,0,RON,draft,2021-06-30,balanta iun
641000,0,0,0,RON,draft,2021-06-30,balanta iun
641000,0,0,0,RON,draft,2021-06-30,balanta iun
642100,5142.57,0,0,RON,draft,2021-06-30,balanta iun
642100,0,5142.57,0,RON,draft,2021-06-30,balanta iun
642200,1432,0,0,RON,draft,2021-06-30,balanta iun
642200,0,1432,0,RON,draft,2021-06-30,balanta iun
646000,0,0,0,RON,draft,2021-06-30,balanta iun
646000,0,0,0,RON,draft,2021-06-30,balanta iun
658100,0,0,0,RON,draft,2021-06-30,balanta iun
658100,0,0,0,RON,draft,2021-06-30,balanta iun
658200,110685.53,0,0,RON,draft,2021-06-30,balanta iun
658200,0,110685.53,0,RON,draft,2021-06-30,balanta iun
658300,13768.56,0,0,RON,draft,2021-06-30,balanta iun
658300,0,13768.56,0,RON,draft,2021-06-30,balanta iun
665100,444.79,0,0,RON,draft,2021-06-30,balanta iun
665100,0,444.79,0,RON,draft,2021-06-30,balanta iun
666000,4526.8,0,0,RON,draft,2021-06-30,balanta iun
666000,0,4526.8,0,RON,draft,2021-06-30,balanta iun
681100,12933,0,0,RON,draft,2021-06-30,balanta iun
681100,0,12933,0,RON,draft,2021-06-30,balanta iun
698000,38962.74,0,0,RON,draft,2021-06-30,balanta iun
698000,0,38962.74,0,RON,draft,2021-06-30,balanta iun
701500,202725.09,0,0,RON,draft,2021-06-30,balanta iun
701500,0,202725.09,0,RON,draft,2021-06-30,balanta iun
704000,527860.71,0,0,RON,draft,2021-06-30,balanta iun
704000,0,527860.71,0,RON,draft,2021-06-30,balanta iun
707000,37172.28,0,0,RON,draft,2021-06-30,balanta iun
707000,0,37172.28,0,RON,draft,2021-06-30,balanta iun
711000,110029.05,0,0,RON,draft,2021-06-30,balanta iun
711000,0,110029.05,0,RON,draft,2021-06-30,balanta iun
