Nume,Descriere,Categorie,Pret,Cost,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,Tip_produs
AMBALAJ-CAPAC CENTRALA_2015_TP-TL ( Polietilena ),,Ambalaje,1.0,0.0,True,True,set,set,,E_00463,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE CENTRALA_610-44_490x355x900_( 2015 TP-TL1 30/30=468x335x821) ,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00408,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE  CENTRALA_610-54_370X370X550,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00618,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE CENTRALA_lipsa cod furnizor_412x487 ,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00514,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE CENTRALA MODEL 2018_1 Cutie FEFCO 0201 modul termic 487x335x725 carton tip V/N,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00654,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE CHHC 8  (490x620x1390 )_CHHC- W7R2-4R-5B3,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00785,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE CHHC-SKANSKA (550x665x1550),,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00549,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE FEFCO200 CHHC-070R2 (1230(h)x525x465)_Lipsa cod furnizor,,Add,1.0,0.0,True,True,Units,Units,,E_00735,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ CUTIE FEFCO200 CHHC1 (1245x570x465)_CHHC-W7R-1A-4R1-T5/PX,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00753,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ SET CUTIE CENTRALA_520x375x900_610-47 ( MTP4E-3R-TL1 ),,Ambalaje,1.0,0.0,True,True,Units,Units,,E_31246,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ SET CUTIE CENTRALA_FS150L/20_610-09,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_01203,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ SET CUTIE CENTRALA_Lipsa dimensiuni si cod furnizor ( CTP7L-4A-TL1_MIX ),,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00737,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
AMBALAJ SET (MANSON+CAPAC)_FS80L/20_(585x570x1380 MANSON),,Ambalaje,1.0,0.0,True,True,Units,Units,,E_01204,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ANSAMBLU CONTOR  CALDURA DN15 (NINGBO)_RC15 _Modbus RS485,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00063,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"ANSAMBLU CONTOR  CALDURA DN20 CU CEAS ROTATIV (NINGBO _EXTERIOR=1"" ) _Modbus RS485",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00285,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"ANSAMBLU CONTOR  CALDURA DN20 (NINGBO_EXTERIOR=1"" , L=130)_RC20 _Modbus RS485",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00064,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ANSAMBLU CONTOR  CALDURA  DUALMBus DN15 ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00189,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ANSAMBLU CONTOR  CALDURA MBus DN15 (NINGBO) ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00187,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ANSAMBLU CONTOR  CALDURA MBus DN20_RC20/G1 inch,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00392,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"ANSAMBLU CONTOR  CALDURA MBUS RC25 (1-1/4"")",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00393,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"ANSAMBLU CONTOR CALDURA RC25 (1-1/4"")_DN25_Modbus RS485 HM RC25 – long wired",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00167,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ANSAMBLU CONTOR  CALDURA RC25-RS485-RH B 25mm ULTRASONIC ENERGY METER FIXED HEAD _Modbus RS485,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00281,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ANSAMBLU CONTOR  CALDURA RC32-RS485-RH ModBus 32mm ULTRASONIC ENERGY METER REMOTE HEAD RS485 ModBus,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00282,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
ANSAMBLU MELC COLIER W2 8mm,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00273,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
