Nume,Descriere,Categorie,Pret,Cost,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Cod_bare,SKU,Taxe,Taxe_achizitie,Tip_produs
CASTI BANDA CAP FULL 30 MM CU MICROFON,,Obiecte de inventar,1.0,119.99000000000001,True,True,Units,Units,,OBI00025,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CASTI BT INK WIRELESS,,Obiecte de inventar,1.0,179.39000000000001,True,True,Units,Units,,OBI00026,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CASTI SKULLCANDY WIRELESS,,Obiecte de inventar,1.0,229.0,True,True,Units,Units,,OBI00027,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA 21X23,,Obiecte de inventar,1.0,11.44,True,True,Units,Units,,OBI00028,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA AUTO 20*22,,Obiecte de inventar,1.0,14.48,True,True,Units,Units,,OBI00029,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA AUTO 21X23,,Obiecte de inventar,1.0,16.27,True,True,Units,Units,,OBI00030,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA AUTO 27X29,,Obiecte de inventar,1.0,24.51,True,True,Units,Units,,OBI00031,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA SIMPLA 10,,Obiecte de inventar,1.0,3.77,True,True,Units,Units,,OBI00032,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA SIMPLA 14,,Obiecte de inventar,1.0,5.63,True,True,Units,Units,,OBI00033,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA SIMPLA 24,,Obiecte de inventar,1.0,13.23,True,True,Units,Units,,OBI00034,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA SIMPLA 30,,Obiecte de inventar,1.0,18.64,True,True,Units,Units,,OBI00035,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA SIMPLA 32,,Obiecte de inventar,1.0,24.32,True,True,Units,Units,,OBI00036,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA SIMPLA 34,,Obiecte de inventar,1.0,22.1,True,True,Units,Units,,OBI00037,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHEIE FIXA SIMPLA 36,,Obiecte de inventar,1.0,22.51,True,True,Units,Units,,OBI00038,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHHC-W7A-1A-070R2/1B,,Add,1.0,0.0,True,True,Units,Units,,CHHC-W7A-1A-070R2/1B,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHHC-W7R-1A-4R1-T5/PX (K603),,Add,1.0,0.0,True,True,Units,Units,,CHHC-W7R-1A-4R1-T5/PX (K603),TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHHC-W7R2-1A-7R-T5/PX (K603),,Add,1.0,0.0,True,True,Units,Units,,CHHC-W7R2-1A-7R-T5/PX (K603),TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHHC-W7R2-2R-5R1-T1/1A,,Add,1.0,0.0,True,True,Units,Units,,CHHC-W7R2-2R-5R1-T1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHHC-W7R2-4R-5B-T1/1A,,Add,1.0,0.0,True,True,Units,Units,,CHHC-W7R2-4R-5B-T1/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHHC-W7R2-6R-4B2/1A,,Add,1.0,0.0,True,True,Units,Units,,CHHC-W7R2-6R-4B2/1A,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CHIUVETA GRANIT,,Obiecte de inventar,1.0,444.54,True,True,Units,Units,,OBI00039,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CIOCAN ZIDARIE,,Obiecte de inventar,1.0,16.72,True,True,Units,Units,,OBI00040,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLEMA CATARAMA 13-16 mm_E,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00179,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLEMA PT. SINA SUPORT SIGURANTA_WSI 4,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00443,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLEMA SIR ALBASTRU_WK2.5/U BI,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00413,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLEMA SIR GRI_WK2.5/U,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00412,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLEMA SIR MAROU ( PORTOCALIU )_WK2.5/U ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00442,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLEMA SIR PT. IMPAMANTARE_WK4SL/U_GALBEN +VERDE,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00411,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLEMA SIR PT. SINA OMEGA_lipsa cod producator,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00460,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLESTE 151230,,Obiecte de inventar,1.0,182.43,True,True,Units,Units,,OBI00041,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLESTE BANDA PES H 22R,,Obiecte de inventar,1.0,369.5,True,True,Units,Units,,OBI00042,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLESTE NITURI PIULITA PNEUMATIC,,Obiecte de inventar,1.0,1800.26,True,True,Units,Units,,OBI00043,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLESTE PAPAGAL,,Obiecte de inventar,1.0,26.810000000000002,True,True,Units,Units,,OBI00044,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLIPS TRADUCTOR TSC SENSOR 18 mm_TSY9918 (pentru senzor pe tevi D18) ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00421,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CLIPS TRADUCTOR TSC SENSOR 28 mm_ (pentru senzor pe tevi D28) ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00504,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
C.L. Platforma 1800x800xh144,,Ambalaje,1.0,0.0,True,True,Units,Units,,e_200188,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COLIER CU GARNITURA_D15-18 mm_(= 3/8"") _(8601 15 19)",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00787,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COLIER CU GARNITURA_D22/M8 _(=1/2"")",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00145,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COLIER CU GARNITURA _D28_(=3/4 "")_E",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_01020,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COLIER CU GARNITURA _D30-38_(=1"")_10310040",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00178,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COLIER CU GARNITURA _D42_(=1-1/4 inch=D39-46mm ),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00434,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COLIER CU GARNITURA_D57-63 mm_( =2 inch fara izolatie )_LIPSA COD FURNIZOR ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00470,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COLIER GARNITURA 1.1/4""",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200088,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COLTARE 40X40X2.500mm,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_200251,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COLT BIROU TEMPRA,,Obiecte de inventar,1.0,210.09,True,True,Units,Units,,OBI00045,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COMODA CU SERTARE,,Obiecte de inventar,1.0,252.1,True,True,Units,Units,,OBI00046,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COMPRESOR STANLEY 50 L 2HP 8 BAR,,Obiecte de inventar,1.0,750.0,True,True,Units,Units,,OBI00047,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COMPRESSION OLIVE 22MM_INEL ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00097,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CONDUCTOR LITAT MYF 1.5 GALBEN-VERDE,,Materii prime generale ,1.0,0.0,True,True,m,m,,E_00207,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CONDUCTOR_MYF 0.5,,Materii prime generale ,1.0,0.0,True,True,m,m,,E_00167,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CONECTORI PLATI IZOLATI MAMA 0.5-1.5 MM 20 Units/SET (papuc auto),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_31235,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CONECTORI ROTUNZI UNIOR 1.5-2.5 MM2 20Units/SET (inel) ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_31236,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Connection Board 882CB20_1R,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00074,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP 403 M-Bus 230V (INCALZIRE) DN15 (3/4"")  403-W-40-2-19-11-7-21",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00406,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP 403 M-Bus Battery (INCALZIRE) DN15 (3/4"")  403-W-40-2-19-11-2-21",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00399,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP 403 M-Bus Battery (INCALZIRE) DN20 (1"")  403-W-70-2-19-11-2-21",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00412,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP 603 ULTRAFLOW 230V (INCALZIRE - 1"")  603-E-2-19-1-11-3-67-67",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00428,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP 603 ULTRAFLOW 230V (INCALZIRE - 3/4"")  603-E-2-19-1-11-3-67-67",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00427,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP 603 ULTRAFLOW 230V (RACIRE - 1"")  603-E-5-19-1-11-3-67-67",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00430,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP 603 ULTRAFLOW 230V (RACIRE - 3/4"")  603-E-5-19-1-11-3-67-67 ",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00429,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP(INCALZIRE) DN15 (3/4"")_402W0020F4252 (Multical 402-1.5mc/h)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00161,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTOR ENERGIE TERMICA KAMSTRUP(INCALZIRE) DN15 (3/4"")402-W-20-2-OF-1-219-QP0.6,PT500-1.5m",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00474,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CONTRAPIULITA G 1-1/4""",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00227,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CONTRAPIULITA G 1 INCH_995025,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00003,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CONTRAPIULITA G 3/4 INCH_995020,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00004,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
Controller 882MS20_2RCA0,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00073,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CORNIER CARTON 45x 45x 4x 2000 ,,Ambalaje,1.0,0.0,True,True,Units,Units,,E_00074,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COROANE BURGHIE,,Obiecte de inventar,1.0,16.8,True,True,Units,Units,,OBI00048,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CORP INF 2 SERTARE,,Obiecte de inventar,1.0,293.28000000000003,True,True,Units,Units,,OBI00049,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CORP MASCA CHIUVETA,,Obiecte de inventar,1.0,284.87,True,True,Units,Units,,OBI00050,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COS GUNOI 15 L,,Obiecte de inventar,1.0,42.02,True,True,Units,Units,,OBI00051,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COS GUNOI CAPAC,,Obiecte de inventar,1.0,40.5,True,True,Units,Units,,OBI00052,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200149,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU 15 MT,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00086,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU 18 I-E lipire,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200012,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU 18_I-I LIPIRE,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200010,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU 22 I-E lipire,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,Mpr_00994,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU 22 L-L lipire,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,Mpr_08041,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU 28_I-I LIPIRE,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00177,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU D22_F-F LA 45 GRADE ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00684,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU D22_F-M LA 45 GRADE ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00727,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU D22_M-F LA 90 GRADE -Lipsa cod producator,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00744,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU F-F 45 GRADE_D18 mm,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00608,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU F-F  90 GRADE_D18 mm_E(=I-I)   ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00747,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU F-F LA 45 GRADE _D28 mm_I-I LIPIRE,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00186,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU F-F  LA 90 GRADE SCURT_D28 mm (=I-I),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00100,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU FI 42_F-F LA 45 GRADE ( =I-I),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00429,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU FI 42_F-F  LA 90 GRADE SCURT (=I-I),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00423,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU FI 42_M-F LA 45 GRADE ( =E-I),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00425,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU M-F LA 45 GRADE_D28 mm,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00098,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU M-F LA 90  grade_D18 mm_E(=I-E),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00748,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CU M-F  LA 90 GRADE_D28 mm (=I-E),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00101,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 15MM,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200223,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 15MM 45gr,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200226,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 18MM,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200235,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 18MM 45gr,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200227,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 22MM,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200224,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 22MM 45gr,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200228,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 28MM,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200225,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT CUPRU 28MM 45gr,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200234,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT Cupru LA 90 GRADE CU SEMIOLANDEZA D15x3/8 inch_2201538000,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00730,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COT Cupru LA 90 GRADE_D18mm(capatul liber F=I )+SEMIOLANDEZA D18x G3/4""(19.05mm)",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00258,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COT Cupru LA 90 GRADE_D28mm(capatul liber F=I )+SEMIOLANDEZA G1""_D28",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00453,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COT DIN ALAMA GALBENA FI-FE 1""",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00302,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COT FI 22_F-F 90 GRADE SCURT (=I-I, M-M)",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00146,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT FI 35_F-F 90 GRADE SCURT,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00212,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT FI 35_F-F LA 45 GRADE ( =M-M),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00218,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT FI 35_M-F LA 45 GRADE ( =M-T),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00215,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT FI 35_M-F LA  90 GRADE ,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00213,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COTIERE SUDOR PIELE,,Obiecte de inventar,1.0,21.86,True,True,Units,Units,,OBI00053,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
COT INT-EXT F/M G3/4 INCH_019025_ART 965 ELBOW 90 GR MXF 3/4X3/4 _965020020(Alama)(Vas Expansiune),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00006,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"COT LA 90 GRADE+SEMIOLANDEZA G1/2""x 18 mm",,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00122,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUIER HAINE,,Obiecte de inventar,1.0,113.45,True,True,Units,Units,,OBI00054,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUPTOR MICROUNDE HYUNDAI HY20MX81,,Obiecte de inventar,1.0,205.04,True,True,Units,Units,,OBI00055,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUPTOR MICROUNDE SAMSUNG,,Obiecte de inventar,1.0,335.29,True,True,Units,Units,,OBI00056,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CURBA CU 45gr D18_I-I LIPIRE,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200011,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CURBA CU 45gr D22_I-I LIPIRE,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200014,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CURBA CUPRU I-E 22 mm_5040,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_01210,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CURBA CUPRU I-I 22 mm_5041,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_01209,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUREA DE RIDICARE,,Obiecte de inventar,1.0,142.02,True,True,Units,Units,,OBI00057,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE CONEX D11/11P IP66 110x110x70,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00446,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE DEPOZITARE_400x 300x 120mm_gri,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_31254,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE DERIVATIE PT IP56 100x100x80,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00447,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE GRI PLASTIC 100*160*75 SET 24 CUTII,,Obiecte de inventar,1.0,228.44,True,True,Units,Units,,OBI00058,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE GRI PLATIC 400*300*120 SET 16 CUTII,,Obiecte de inventar,1.0,480.27,True,True,Units,Units,,OBI00059,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE GRI PLATIC 600*400*1200 SET 8 CUTII,,Obiecte de inventar,1.0,359.5,True,True,Units,Units,,OBI00060,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE IZOLATIE SCHIMBATOR 20 PLACI_41654 EPP INSULATION B8Tx20 (EVI234;249;237;244;251;329;250;235),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00238,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE IZOLATIE SCHIMBATOR 40 PLACI_41655 EPP INSULATION B8Tx40 (EVI236;254;240;361;231;248;256),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00239,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE IZOLATIE SCHIMBATOR 70 PLACI EPP insulation 41670 (EPP B85x70)_(+EVI_00301;302) ,,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00439,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE IZOLATIE SCHIMBATOR EPP 25T/2B/30 (587x179x137)_( +EVI_00377),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00310,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE IZOLATIE SCHIMBATOR EPP B15x40 (524x132x163)_41657 ( +EVI_00304 ),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00305,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE IZOLATIE SCHIMBATOR EPP B25T/B28/B80/B85x60 (587x178x212)_( +EVI_00301; 00302),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,EVI_00321,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CUTIE IZOLATIE SCHIMBATOR EPP INSULATION B25T/28/80x40 (fits B85Hx50),code 41668 (EVI_00497;380;300)",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,Evi_00498,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
"CUTIE IZOLATIE SCHIMBATOR EPP INSULATION B25T/28/80x60 (fits B85Hx60),code 41669 _(+EVI_00499; 378 )",,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,Evi_00500,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
CUTIE IZOLATIE SCHIMBATOR KIT 3 piese LGM -Logimarkt ( Model 2018 ),,Materii prime – comp EVI,1.0,0.0,True,True,Units,Units,,E_00653,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DEBAVURATOR MANUAL,,Obiecte de inventar,1.0,406.65000000000003,True,True,Units,Units,,OBI00061,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DECAPANT DS41,,Materii prime generale ,1.0,0.0,True,True,kg,kg,,Maux_0001,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DIN 439 GR.04 ZINCAT ALB,,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_200256,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DISPOZITIV DE INDREPTAT TEAVA JAV 1036,,Obiecte de inventar,1.0,339.69,True,True,Units,Units,,OBI00062,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DISPOZITIV MAGNETIC PENTRU SPAN,,Obiecte de inventar,1.0,124.0,True,True,Units,Units,,OBI00063,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DISTANTIER XPE 70x35x20 ( in CUTIE IZOLATIE SCHIMBATOR CALDURA),,Materii prime generale ,1.0,0.0,True,True,Units,Units,,E_00481,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
DOCKING STATION LENOVO THINKPAD,,Obiecte de inventar,1.0,612.53,True,True,Units,Units,,OBI00064,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,product
