Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
642100,0,450,,RON,draft,2021-04-30,balanta apr
642200,1760.88,0,,RON,draft,2021-04-30,balanta apr
642200,0,1760.88,,RON,draft,2021-04-30,balanta apr
646000,502,0,,RON,draft,2021-04-30,balanta apr
646000,0,502,,RON,draft,2021-04-30,balanta apr
658100,6.34,0,,RON,draft,2021-04-30,balanta apr
658100,0,6.34,,RON,draft,2021-04-30,balanta apr
658200,7700,0,,RON,draft,2021-04-30,balanta apr
658200,0,7700,,RON,draft,2021-04-30,balanta apr
665100,4357.94,0,,RON,draft,2021-04-30,balanta apr
665100,0,4357.94,,RON,draft,2021-04-30,balanta apr
681100,2883.95,0,,RON,draft,2021-04-30,balanta apr
681100,0,2883.95,,RON,draft,2021-04-30,balanta apr
698000,0,0,,RON,draft,2021-04-30,balanta apr
698000,0,0,,RON,draft,2021-04-30,balanta apr
704000,126545.21,0,,RON,draft,2021-04-30,balanta apr
704000,0,126545.21,,RON,draft,2021-04-30,balanta apr
707000,8375,0,,RON,draft,2021-04-30,balanta apr
707000,0,8375,,RON,draft,2021-04-30,balanta apr
765100,23182.63,0,,RON,draft,2021-04-30,balanta apr
765100,0,23182.63,,RON,draft,2021-04-30,balanta apr
