Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
612000,0,17670.82,,RON,draft,2021-05-31,balanta mai
613000,14.99,0,,RON,draft,2021-05-31,balanta mai
613000,0,14.99,,RON,draft,2021-05-31,balanta mai
623000,475.26,0,,RON,draft,2021-05-31,balanta mai
623000,0,475.26,,RON,draft,2021-05-31,balanta mai
625000,0,0,,RON,draft,2021-05-31,balanta mai
625000,0,0,,RON,draft,2021-05-31,balanta mai
626000,700.92,0,,RON,draft,2021-05-31,balanta mai
626000,0,700.92,,RON,draft,2021-05-31,balanta mai
627000,1847.66,0,,RON,draft,2021-05-31,balanta mai
627000,0,1847.66,,RON,draft,2021-05-31,balanta mai
628000,5980.49,0,,RON,draft,2021-05-31,balanta mai
628000,0,5980.49,,RON,draft,2021-05-31,balanta mai
635000,0,0,,RON,draft,2021-05-31,balanta mai
635000,0,0,,RON,draft,2021-05-31,balanta mai
641000,32464,0,,RON,draft,2021-05-31,balanta mai
641000,0,32464,,RON,draft,2021-05-31,balanta mai
642100,0,0,,RON,draft,2021-05-31,balanta mai
642100,0,0,,RON,draft,2021-05-31,balanta mai
642200,"2181.09",0,,RON,draft,2021-05-31,balanta mai
642200,0,"2181.09",,RON,draft,2021-05-31,balanta mai
646000,730,0,,RON,draft,2021-05-31,balanta mai
646000,0,730,,RON,draft,2021-05-31,balanta mai
658100,"1.56",0,,RON,draft,2021-05-31,balanta mai
658100,0,"1.56",,RON,draft,2021-05-31,balanta mai
658200,0,0,,RON,draft,2021-05-31,balanta mai
658200,0,0,,RON,draft,2021-05-31,balanta mai
665100,"20979.86",0,,RON,draft,2021-05-31,balanta mai
665100,0,"20979.86",,RON,draft,2021-05-31,balanta mai
681100,"2883.93",0,,RON,draft,2021-05-31,balanta mai
681100,0,"2883.93",,RON,draft,2021-05-31,balanta mai
698000,0,0,,RON,draft,2021-05-31,balanta mai
698000,0,0,,RON,draft,2021-05-31,balanta mai
701500,"7740.46",0,,RON,draft,2021-05-31,balanta mai
701500,0,"7740.46",,RON,draft,2021-05-31,balanta mai
704000,"151744.93",0,,RON,draft,2021-05-31,balanta mai
704000,0,"151744.93",,RON,draft,2021-05-31,balanta mai
707000,"442589.85",0,,RON,draft,2021-05-31,balanta mai
707000,0,"442589.85",,RON,draft,2021-05-31,balanta mai
765100,"1254.1",0,,RON,draft,2021-05-31,balanta mai
765100,0,"1254.1",,RON,draft,2021-05-31,balanta mai
